Code,Year,Pref,Municip,Ku,JCP,LDP,TotVote,VotePop,Turnout,EldPop,Fstrength,JCPPR,LDPPR,LDPDif,JCPDif,Kaso,Kaso2,IncomePerCapita,Fusion,Kaso.fusion,Kaso2.fusion
01210,2021,北海道,岩見沢市,１０区,NA,NA,39986,67874,0.5891210183575448,36.301949734012304,0.38,0.0794738579580254,0.3178452272471629,NA,NA,一部過疎,Kaso,2717.947478,1,一部過疎,Kaso-Merged
01211,2009,北海道,網走市,12区,NA,0.4251504513540622,23928,34895,0.6857142857142857,22.743,0.4,0.06359373691702253,0.2709118311981914,0.1542386201558708,NA,Normal,Normal,2953.6,0,Normal,Normal
01211,2012,北海道,網走市,12区,0.08273043574308278,0.4858894350251284,18107,34895,0.518899555810288,22.743,0.37,0.07235368052899066,0.30007104213344993,0.18581839289167845,0.01037675521409212,Normal,Normal,3026.8,0,Normal,Normal
01211,2014,北海道,網走市,12区,0.13370799672169534,0.5234750029270577,17082,33546,0.5092112323376856,27.359,0.38,0.12416967719380026,0.325370003496096,0.19810499943096171,0.009538319527895078,Normal,Normal,3017.5,0,Normal,Normal
01211,2017,北海道,網走市,12区,0.15608301929242366,0.5228078069632712,17779,33546,0.5299886722709116,27.359,0.42,0.0888444666555611,0.29968349158753954,0.22312431537573169,0.06723855263686256,Normal,Normal,3052.8,0,Normal,Normal
01211,2021,北海道,網走市,１２区,0.08656421003609267,0.5091978111538014,17178,29054,0.5912438906863082,32.6920834790719,0.44,0.08919775329566933,0.3480530347204454,0.16114477643335595,-0.002633543259576654,Normal,Normal,3030.898796,0,Normal,Normal
01212,2009,北海道,留萌市,10区,NA,0.403094358843754,15706,21087,0.7448190828472518,28.209,0.35,0.03854059609455293,0.2604059609455293,0.14268839789822468,NA,全部過疎,Kaso,2743,0,全部過疎,Kaso
01212,2012,北海道,留萌市,10区,0.0363681345868382,NA,12126,21087,0.575046237018068,28.209,0.29,0.03379591836734694,0.25893877551020406,NA,0.0025722162194912607,全部過疎,Kaso,2637.2,0,全部過疎,Kaso
01212,2014,北海道,留萌市,10区,0.08305550107864287,NA,10198,19422,0.5250746576047781,33.81,0.3,0.07530935808197989,0.336523588553751,NA,0.007746142996662986,全部過疎,Kaso,2611.4,0,全部過疎,Kaso
01212,2017,北海道,留萌市,10区,NA,NA,11737,19422,0.6043146946761404,33.81,0.32,0.044431329567490095,0.27670516819829694,NA,NA,全部過疎,Kaso,2740.9,0,全部過疎,Kaso
01212,2021,北海道,留萌市,１０区,NA,NA,10994,17540,0.6267958950969214,37.8410615774564,0.32,0.0467487184743496,0.38133728704420344,NA,NA,全部過疎,Kaso,2797.852592,0,全部過疎,Kaso
01213,2009,北海道,苫小牧市,９区,0.0829321772063587,0.24796930283550106,100335,144612,0.6938220894531574,21.068,0.79,0.08939546876405392,0.18170915741397747,0.06626014542152359,-0.006463291557695219,Normal,Normal,2841.8,0,Normal,Normal
01213,2012,北海道,苫小牧市,９区,0.16060732292399846,0.5268109800767053,69617,144612,0.4814054158714353,21.068,0.74,0.09050699397357218,0.21321943937634766,0.31359154070035766,0.07010032895042628,Normal,Normal,2747,0,Normal,Normal
01213,2014,北海道,苫小牧市,９区,0.17935111751982696,0.43981254506128337,69350,145345,0.4771405965117479,25.744,0.75,0.14601687775762856,0.24527008695900504,0.19454245810227833,0.0333342397621984,Normal,Normal,2750.9,0,Normal,Normal
01213,2017,北海道,苫小牧市,９区,0.17770219198790627,0.44236583522297807,79380,145345,0.5461488183288039,25.744,0.77,0.10227528441055132,0.24424303037879735,0.1981228048441807,0.07542690757735494,Normal,Normal,2839.4,0,Normal,Normal
01213,2021,北海道,苫小牧市,９区,NA,0.46326720396776194,77424,140961,0.5492583054887522,29.4703159684504,0.78,0.10399627425194474,0.2807226457283705,0.18254455823939142,NA,Normal,Normal,2896.717096,0,Normal,Normal
01214,2009,北海道,稚内市,12区,NA,0.4913128196801169,24634,33728,0.7303723908918406,24.405,0.4,0.05556682214560941,0.29134049888460756,0.19997232079550936,NA,全部過疎,Kaso,2830,0,全部過疎,Kaso
01214,2012,北海道,稚内市,12区,0.0658682634730539,0.5534252595725979,18203,33728,0.5396999525616698,24.405,0.35,0.060645023036537016,0.3127611700417872,0.2406640895308107,0.005223240436516882,全部過疎,Kaso,2763.4,0,全部過疎,Kaso
01214,2014,北海道,稚内市,12区,0.11807331628303495,0.5994397759103641,16422,31171,0.5268358410060633,28.876,0.35,0.11004582730342499,0.35594548962855765,0.24349428628180647,0.008027488979609962,全部過疎,Kaso,2881.4,0,全部過疎,Kaso
01214,2017,北海道,稚内市,12区,0.13454082518372779,0.6012383542619062,17281,31171,0.5543935067851529,28.876,0.37,0.0790529695024077,0.3290529695024077,0.2721853847594985,0.055487855681320086,全部過疎,Kaso,3055.4,0,全部過疎,Kaso
01214,2021,北海道,稚内市,１２区,0.09089123174644752,0.6309344509200445,15271,27835,0.5486258307885755,33.595188412912705,0.38,0.08209345354303403,0.38129733628930673,0.2496371146307378,0.008797778203413487,全部過疎,Kaso,3252.60145,0,全部過疎,Kaso
01215,2009,北海道,美唄市,10区,NA,0.3691197161558696,16347,22686,0.7205765670457551,32.861,0.27,0.07683338447376496,0.239153114452286,0.1299666017035836,NA,全部過疎,Kaso,2537.8,0,全部過疎,Kaso
01215,2012,北海道,美唄市,10区,0.07470419921119789,NA,12931,22686,0.5699991183990126,32.861,0.24,0.06585441085749537,0.2937230104873535,NA,0.008849788353702523,全部過疎,Kaso,2479.9,0,全部過疎,Kaso
01215,2014,北海道,美唄市,10区,0.13708668453976766,NA,11190,20417,0.5480726845275995,38.433,0.24,0.11487206823027718,0.3327114427860697,NA,0.02221461630949048,全部過疎,Kaso,2447.9,0,全部過疎,Kaso
01215,2017,北海道,美唄市,10区,NA,NA,12243,20417,0.5996473526962826,38.433,0.26,0.07863706595104497,0.2873871676018541,NA,NA,全部過疎,Kaso,2552.2,0,全部過疎,Kaso
01215,2021,北海道,美唄市,１０区,NA,NA,11181,18146,0.6161688526397002,42.7348336594912,0.27,0.07250564988764333,0.36514675983266454,NA,NA,全部過疎,Kaso,2670.606455,0,全部過疎,Kaso
